age, how old are you
name, what is your name
name, what can i call you
name, tell me your name ?
name, what do people call you
name, what do pple call you?
name, tell me what i can call you ?
name, tell me what i call you?
name, what name are you answered ?
name, name?
name, tell me you name Aipa ?
name, tell me your name this nigga
name, what can i call you as a pal
age, tell me your age
age, how old can you be
age, how old is apia
age, age
task, how can you help me
task, i need your help
task, what can you do?
task, can you do
task, tell me what you are good at?
task, tell me your offers.
task, tell me how you can help.
task, what can you do
task, what can you offer me ?
task, what do you do
name, so what are you called?
name, so what do people call you?
name, what are you called ?
name, what can i know you with ?
task, what do you do
task, what kind of services do you offer
task, what tasks can you do
task, what are you good at
task, what can you really do?
task, tell me what you can do ?
age, how old are you?
greeting, hello hi
greeting, hi
greeting, hello
greeting, hello AIPA
greeting, hello dude
greeting, hi AIPA
greeting, whats up
good_reply, ok thanks 
good_reply, ok perfect
good_reply, thank you 
good_reply, thanks 
good_reply, ok great
good_reply, yeah thanks 
good_reply, yeah
good_reply, yh 
good_reply, yeah sure 
good_reply, yh sure 
good_reply, yes i know
good_reply, oh sure 
good_reply, thanks for everything
good_reply, i am fine thanks 
good_reply, fine 
good_reply, i am cool 
good_reply, i am great i guess 
good_reply, thanks for everything
greeting, how far
greeting, goodmorning
greeting, goodevening
bio_question, how are you
bio_question, how are you doing
bio_question, how are you holding up ?
bio_question, how far you
bio_question, how are you doing
bio_question, how was your day?
bio_question, how was your weekend
bio_question, how is your day going
bio_question, how is your day going apia
task, what can you do for me ?
age, "what is is age, or better still, how old are you"
greeting, how is everything going
